PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,0,0,0,0,0,0
P3,Production de gaz naturel et grisou,GWh PCS,0,0,0,0,0,0
P4,"Chaleur nucléaire (E8/0,33)",GWh,266302,275368,227294,242398,243029,260090
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,30532,28268,30385,25659,32400,29961
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,0,0,0,0,0,0
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,0,0,0,0,0,0
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,0,0,0,0,0,0
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,22898,23677,19544,20842,20897,22364
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,2625,2431,2613,2206,2786,2576
P13,Biométhane injecté,GWh PCI,0,1,7,32,41,61
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,0,0,1,3,4,5
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,120289,121896,108897,108896,115223,119056
E2,Production d'électricité primaire ,GWh,30532,28268,30385,25659,32400,29961
E4,  - Hydraulique (yc pompage),GWh,29 120,26 706,28 708,23 769,30 280,27 535
E6,  - Éolien ,GWh,784,803,872,1 006,1 075,1 194
E7,  - Solaire photovoltaïque **,GWh,627,759,805,883,1 045,1 232
E8,Production d'électricité nucléaire,GWh,87 880,90 871,75 007,79 991,80 199,85 830
E9,Production nette d'électricité des centrales thermiques classiques,GWh,1877,2756,3506,3247,2624,3265
E10,  - Gaz naturel,GWh,978,1 836,2 455,2 231,1 447,2 045
E11,  - Pétrole,GWh,Secret primaire,Secret primaire,Secret primaire,67,100,113
E12,  - Charbon,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E13,  - Biomasse,GWh,125,124,215,187,256,243
E14,  - Biogaz,GWh PCI,115,128,164,Secret primaire,Secret primaire,Secret primaire
E15,  - Déchets urbains,GWh,487,472,451,483,513,500
E16,  - Déchets industriels,GWh,41,78,89,Secret primaire,Secret primaire,Secret primaire
E17,  - Géothermie,GWh,0,0,0,0,0,0
E18,  - Autre,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,0
E19,Production de chaleur commercialisée,GWh,4244,4310,4490,4367,4284,4621
E20,  - Gaz naturel,GWh,1 918,1 782,1 861,1 622,1 540,1 721
E21,  - Pétrole,GWh,100,96,51,88,105,79
E22,  - Charbon,GWh,Secret primaire,Secret primaire,Secret primaire,Secret induit,Secret primaire,Secret primaire
E23,  - Biomasse,GWh,913,1 087,1 273,1 343,1 433,1 505
E24,  - Biogaz,GWh PCI,Secret primaire,Secret primaire,Secret primaire,65,64,77
E25,  - Déchets urbains,GWh,1 030,1 043,1 063,1 105,940,1 064
E26,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,0,0,0
E27,  - Géothermie,GWh,0,0,0,0,0,0
E28,  - Autre,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
Combustibles consommés,,,,,,,,
E29,Consommation de combustibles dans  les centrales thermiques,GWh,10279,12250,13841,13267,11880,13768
E30,  - Gaz naturel,GWh,3 709,5 559,6 682,6 256,4 650,6 202
E31,  - Pétrole,GWh,270,273,240,265,341,355
E32,  - Charbon,GWh,721,593,617,545,610,569
E33,  - Biomasse,GWh,1 373,1 556,2 041,2 029,2 284,2 350
E34,  - Biogaz,GWh PCI,506,575,603,Secret primaire,Secret primaire,Secret primaire
E35,  - Déchets urbains,GWh,3 541,3 415,3 340,3 452,3 291,3 362
E36,  - Déchets industriels,GWh,Secret induit,Secret induit,Secret induit,Secret primaire,Secret primaire,Secret primaire
E37,  - Géothermie,GWh,0,0,0,0,0,0
E38,  - Autre,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,17948,18567,18559,18746,18327,18369
CI1,Industrie,ktep,3802,3860,3971,3930,3826,3909
CI3,Charbon,ktep,60,61,63,112,114,112
CI3b,dont hauts fourneaux,ktep,0,0,0,0,0,0
CI4,Produits pétroliers,ktep,387,356,366,362,347,350
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,156,154,164,148,160,169
CI11,Chaleur commercialisée,ktep,215,236,231,222,181,258
CI5,Gaz naturel (unité propre),GWh PCS,16 969,17 484,18 511,17 338,16 490,16 819
CI6,Gaz naturel,ktep,1 313,1 353,1 432,1 342,1 276,1 302
CI7,Électricité (unité propre),GWh,19 446,19 767,19 946,20 280,20 337,19 971
CI8,Électricité ,ktep,1 672,1 700,1 715,1 744,1 749,1 717
