PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,0,0,0,0,0,0
P3,Production de gaz naturel et grisou,GWh PCS,0,0,0,0,0,0
P4,"Chaleur nucléaire (E8/0,33)",GWh,0,0,0,0,0,0
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,2205,2465,2239,2351,2618,2741
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,0,0,0,0,0,0
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,0,0,0,0,0,0
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,0,0,0,0,0,0
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,0,0,0,0,0,0
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,190,212,193,202,225,236
P13,Biométhane injecté,GWh PCI,0,2,6,24,48,110
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,0,0,0,2,4,9
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,2788,3151,3106,3363,3731,3948
E2,Production d'électricité primaire ,GWh,2205,2465,2239,2351,2618,2741
E4,  - Hydraulique (yc pompage),GWh,589,576,594,Secret primaire,588,593
E6,  - Éolien ,GWh,1 443,1 704,1 453,1 553,1 803,1 899
E7,  - Solaire photovoltaïque **,GWh,173,185,192,Secret induit,227,250
E8,Production d'électricité nucléaire,GWh,0,0,0,0,0,0
E9,Production nette d'électricité des centrales thermiques classiques,GWh,583,686,867,1012,1112,1207
E10,  - Gaz naturel,GWh,288,372,514,640,699,749
E11,  - Pétrole,GWh,17,18,21,54,45,43
E12,  - Charbon,GWh,0,0,0,0,0,0
E13,  - Biomasse,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E14,  - Biogaz,GWh PCI,49,68,76,100,131,159
E15,  - Déchets urbains,GWh,157,157,170,133,122,Secret primaire
E16,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E17,  - Géothermie,GWh,0,0,0,0,0,0
E18,  - Autre,GWh,0,0,0,0,0,0
E19,Production de chaleur commercialisée,GWh,953,1097,1387,1593,1718,1781
E20,  - Gaz naturel,GWh,404,533,739,895,993,992
E21,  - Pétrole,GWh,1,0,Secret primaire,Secret induit,Secret primaire,Secret primaire
E22,  - Charbon,GWh,0,0,0,0,0,Secret primaire
E23,  - Biomasse,GWh,Secret primaire,Secret primaire,178,243,279,314
E24,  - Biogaz,GWh PCI,Secret primaire,Secret primaire,32,45,65,71
E25,  - Déchets urbains,GWh,379,358,431,409,379,402
E26,  - Déchets industriels,GWh,0,0,0,0,0,0
E27,  - Géothermie,GWh,0,0,0,0,0,0
E28,  - Autre,GWh,0,Secret primaire,Secret primaire,Secret primaire,Secret primaire,0
Combustibles consommés,,,,,,,,
E29,Consommation de combustibles dans  les centrales thermiques,GWh,3028,3050,3656,4230,4447,4604
E30,  - Gaz naturel,GWh,865,1 084,1 591,1 911,2 092,2 150
E31,  - Pétrole,GWh,66,78,83,205,169,164
E32,  - Charbon,GWh,0,0,0,0,0,Secret primaire
E33,  - Biomasse,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E34,  - Biogaz,GWh PCI,152,203,213,308,356,420
E35,  - Déchets urbains,GWh,1 594,1 337,1 316,1 246,1 196,1 219
E36,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E37,  - Géothermie,GWh,0,0,0,0,0,0
E38,  - Autre,GWh,0,Secret primaire,Secret primaire,Secret primaire,Secret primaire,0
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,6633,6766,7066,7047,7064,7036
CI1,Industrie,ktep,901,943,907,886,936,939
CI3,Charbon,ktep,0,Secret primaire,Secret primaire,0,0,Secret primaire
CI3b,dont hauts fourneaux,ktep,0,0,0,0,0,0
CI4,Produits pétroliers,ktep,114,111,99,103,107,105
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,5,Secret induit,Secret induit,7,11,Secret induit
CI11,Chaleur commercialisée,ktep,32,44,35,56,42,35
CI5,Gaz naturel (unité propre),GWh PCS,4 467,4 366,4 407,3 936,4 719,4 824
CI6,Gaz naturel,ktep,346,338,341,305,365,373
CI7,Électricité (unité propre),GWh,4 699,4 712,4 754,4 826,4 789,4 782
CI8,Électricité ,ktep,404,405,409,415,412,411
CTR1,Transport,ktep,2496,2509,2557,2613,2578,2611
CTR2,Produits pétroliers (hors biocarburants),ktep,2 313,2 324,2 371,2 416,2 380,2 406
CTR3,Biocarburants,ktep,166,167,169,179,181,186
