PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,766,836,815,758,774,725
P3,Production de gaz naturel et grisou,GWh PCS,162,247,232,183,100,185
P4,"Chaleur nucléaire (E8/0,33)",GWh,1260187,1263015,1163661,1148770,1191316,1149891
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,91421,87877,93943,87596,107756,106775
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,796,873,851,789,798,755
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,783,854,833,775,791,741
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,13,19,18,14,8,14
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,108357,108600,100057,98776,102435,98873
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,7861,7556,8078,7532,9265,9181
P13,Biométhane injecté,GWh PCI,28,74,194,365,642,1 112
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,2,6,17,31,55,96
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,540933,546691,532418,529938,550273,539354
E2,Production d'électricité primaire ,GWh,91421,87877,93943,87596,107756,106775
E4,  - Hydraulique (yc pompage),GWh,68 261,59 267,64 471,53 951,68 902,60 416
E6,  - Éolien ,GWh,17 250,21 350,21 308,24 544,28 531,34 615
E7,  - Solaire photovoltaïque **,GWh,5 910,7 260,8 164,9 101,10 323,11 743
E8,Production d'électricité nucléaire,GWh,415 862,416 795,384 008,379 094,393 134,379 464
E9,Production nette d'électricité des centrales thermiques classiques,GWh,33650,42019,54468,63248,49383,53115
E10,  - Gaz naturel,GWh,12 418,19 946,32 988,38 228,28 879,37 088
E11,  - Pétrole,GWh,1 995,2 029,2 000,2 332,1 690,1 598
E12,  - Charbon,GWh,11 304,11 607,9 958,12 746,8 461,4 063
E13,  - Biomasse,GWh,1 848,2 169,2 893,2 906,3 243,3 138
E14,  - Biogaz,GWh PCI,1 482,1 699,1 860,1 980,2 209,2 408
E15,  - Déchets urbains,GWh,3 900,3 789,3 966,4 137,4 119,4 072
E16,  - Déchets industriels,GWh,167,237,237,198,182,216
E17,  - Géothermie,GWh,0,0,Secret induit,Secret induit,Secret induit,Secret induit
E18,  - Autre,GWh,537,542,561,712,593,527
E19,Production de chaleur commercialisée,GWh,34714,39023,42568,43702,43794,46011
E20,  - Gaz naturel,GWh,13 256,15 621,17 234,17 524,17 497,18 015
E21,  - Pétrole,GWh,680,1 188,453,438,394,241
E22,  - Charbon,GWh,2 518,2 441,1 720,1 439,1 452,1 206
E23,  - Biomasse,GWh,8 545,9 777,12 031,12 699,12 810,13 754
E24,  - Biogaz,GWh PCI,270,418,477,686,800,886
E25,  - Déchets urbains,GWh,7 463,7 477,8 091,8 250,8 119,8 634
E26,  - Déchets industriels,GWh,65,70,90,95,106,122
E27,  - Géothermie,GWh,1 053,1 071,1 221,1 559,1 663,1 800
E28,  - Autre,GWh,864,958,1 250,1 012,953,1 353
Combustibles consommés,,,0,0,0,0,0,0
E29,Consommation de combustibles dans  les centrales thermiques,GWh,140552,161128,185902,205964,172267,179171
E30,  - Gaz naturel,GWh,38 914,57 102,83 514,94 219,74 592,92 960
E31,  - Pétrole,GWh,7 343,7 663,6 957,6 930,5 110,4 477
E32,  - Charbon,GWh,37 608,36 692,30 434,37 420,25 579,13 403
E33,  - Biomasse,GWh,15 912,18 664,22 972,23 243,23 889,24 303
E34,  - Biogaz,GWh PCI,5 715,6 441,6 653,6 831,7 201,7 639
E35,  - Déchets urbains,GWh,27 547,26 923,27 301,27 529,27 595,27 614
E36,  - Déchets industriels,GWh,733,1 147,1 064,923,908,1 035
E37,  - Géothermie,GWh,2 105,2 143,2 486,3 204,3 410,3 670
E38,  - Autre,GWh,4 674,4 353,4 523,5 664,3 982,4 071
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,145508,148168,150526,150337,148079,146289
CI1,Industrie,ktep,32320,31582,32283,31903,32144,31026
CI3,Charbon,ktep,5 218,4 993,4 900,5 493,5 559,5 030
CI3b,dont hauts fourneaux,ktep,4 218,3 947,3 893,4 430,4 451,4 124
CI4,Produits pétroliers,ktep,2 906,2 718,2 710,2 549,2 420,2 399
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,1 556,1 661,1 759,1 629,1 758,1 711
CI11,Chaleur commercialisée,ktep,1 327,1 438,1 649,1 717,1 482,1 622
CI5,Gaz naturel (unité propre),GWh PCS,145 975,140 331,144 674,136 083,141 161,134 261
CI6,Gaz naturel,ktep,11 296,10 860,11 196,10 531,10 924,10 390
CI7,Électricité (unité propre),GWh,116 496,115 278,117 097,116 119,116 305,114 848
