PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,0,0,0,0,0,0
P3,Production de gaz naturel et grisou,GWh PCS,0,0,0,0,0,0
P4,"Chaleur nucléaire (E8/0,33)",GWh,0,0,0,0,0,0
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,1493,1792,1849,2001,2389,2750
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,0,0,0,0,0,0
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,0,0,0,0,0,0
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,0,0,0,0,0,0
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,0,0,0,0,0,0
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,128,154,159,172,205,236
P13,Biométhane injecté,GWh PCI,3,2,7,16,61,102
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,0,0,1,1,5,9
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,5421,5992,6249,9137,7336,6592
E2,Production d'électricité primaire ,GWh,1493,1792,1849,2001,2389,2750
E4,  - Hydraulique (yc pompage),GWh,24,18,19,11,20,19
E6,  - Éolien ,GWh,1 109,1 357,1 396,1 512,1 815,2 121
E7,  - Solaire photovoltaïque **,GWh,360,417,435,478,554,610
E8,Production d'électricité nucléaire,GWh,0,0,0,0,0,0
E9,Production nette d'électricité des centrales thermiques classiques,GWh,3928,4200,4399,7136,4947,3842
E10,  - Gaz naturel,GWh,797,1 548,2 296,2 502,1 544,2 933
E11,  - Pétrole,GWh,92,70,126,Secret primaire,Secret primaire,6
E12,  - Charbon,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E13,  - Biomasse,GWh,Secret primaire,Secret primaire,Secret primaire,74,Secret primaire,Secret primaire
E14,  - Biogaz,GWh PCI,125,119,Secret primaire,146,165,184
E15,  - Déchets urbains,GWh,122,120,158,163,145,149
E16,  - Déchets industriels,GWh,Secret primaire,Secret primaire,0,0,Secret primaire,Secret primaire
E17,  - Géothermie,GWh,0,0,0,0,0,0
E18,  - Autre,GWh,0,0,0,0,0,0
E19,Production de chaleur commercialisée,GWh,1294,1385,1516,1641,1913,1828
E20,  - Gaz naturel,GWh,654,705,746,815,974,826
E21,  - Pétrole,GWh,Secret primaire,6,0,0,2,0
E22,  - Charbon,GWh,0,0,0,0,Secret primaire,0
E23,  - Biomasse,GWh,245,281,332,364,371,416
E24,  - Biogaz,GWh PCI,Secret induit,Secret primaire,63,Secret induit,85,Secret induit
E25,  - Déchets urbains,GWh,352,348,375,381,427,496
E26,  - Déchets industriels,GWh,0,Secret primaire,0,0,0,0
E27,  - Géothermie,GWh,0,0,0,0,0,0
E28,  - Autre,GWh,0,0,0,Secret primaire,Secret primaire,Secret primaire
Combustibles consommés,,,,,,,,
E29,Consommation de combustibles dans  les centrales thermiques,GWh,11900,12079,12147,19422,14469,10469
E30,  - Gaz naturel,GWh,2 149,3 623,5 120,5 644,3 782,6 448
E31,  - Pétrole,GWh,209,157,Secret primaire,Secret primaire,Secret primaire,14
E32,  - Charbon,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E33,  - Biomasse,GWh,435,502,559,596,582,658
E34,  - Biogaz,GWh PCI,Secret primaire,Secret primaire,415,427,Secret primaire,Secret primaire
E35,  - Déchets urbains,GWh,954,928,1 037,1 064,1 157,1 216
E36,  - Déchets industriels,GWh,Secret primaire,Secret primaire,0,0,Secret primaire,Secret primaire
E37,  - Géothermie,GWh,0,0,0,0,0,0
E38,  - Autre,GWh,0,0,0,Secret primaire,Secret primaire,Secret primaire
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,8296,8511,8458,8403,8325,8326
CI1,Industrie,ktep,1386,1409,1482,1383,1436,1442
CI3,Charbon,ktep,11,9,9,10,11,12
CI3b,dont hauts fourneaux,ktep,0,0,0,0,0,0
CI4,Produits pétroliers,ktep,262,238,220,221,222,228
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,83,92,105,94,91,91
CI11,Chaleur commercialisée,ktep,73,56,64,65,42,49
CI5,Gaz naturel (unité propre),GWh PCS,5 571,6 233,7 083,5 803,6 734,6 769
CI6,Gaz naturel,ktep,431,482,548,449,521,524
CI7,Électricité (unité propre),GWh,6 116,6 187,6 225,6 331,6 392,6 262
CI8,Électricité ,ktep,526,532,535,544,550,538
CTR1,Transport,ktep,3175,3157,3209,3314,3292,3296
CTR2,Produits pétroliers (hors biocarburants),ktep,2 934,2 915,2 964,3 055,3 030,3 028
CTR3,Biocarburants,ktep,200,200,203,216,220,225
