PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,0,0,0,0,0,0
P3,Production de gaz naturel et grisou,GWh PCS,0,0,0,0,0,0
P4,"Chaleur nucléaire (E8/0,33)",GWh,0,0,0,0,0,0
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,12268,10357,10718,9678,12774,10983
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,0,0,0,0,0,0
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,0,0,0,0,0,0
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,0,0,0,0,0,0
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,0,0,0,0,0,0
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,1055,891,922,832,1098,944
P13,Biométhane injecté,GWh PCI,0,0,0,0,0,21
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,0,0,0,0,0,2
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,16290,17002,21100,20464,20167,20148
E2,Production d'électricité primaire ,GWh,12268,10357,10718,9678,12774,10983
E4,  - Hydraulique (yc pompage),GWh,11 134,9 038,9 273,7 970,10 907,8 848
E6,  - Éolien ,GWh,106,125,109,193,230,242
E7,  - Solaire photovoltaïque **,GWh,1 027,1 195,1 337,1 515,1 636,1 893
E8,Production d'électricité nucléaire,GWh,0,0,0,0,0,0
E9,Production nette d'électricité des centrales thermiques classiques,GWh,4022,6644,10382,10787,7393,9165
E10,  - Gaz naturel,GWh,1 519,3 543,7 493,8 251,5 453,7 724
E11,  - Pétrole,GWh,479,280,307,265,258,149
E12,  - Charbon,GWh,1 356,2 030,Secret primaire,Secret primaire,495,315
E13,  - Biomasse,GWh,Secret primaire,Secret primaire,330,308,538,363
E14,  - Biogaz,GWh PCI,121,126,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E15,  - Déchets urbains,GWh,385,453,497,528,523,505
E16,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E17,  - Géothermie,GWh,0,0,0,0,0,0
E18,  - Autre,GWh,0,0,0,0,0,0
E19,Production de chaleur commercialisée,GWh,973,1461,1386,1440,1402,1557
E20,  - Gaz naturel,GWh,772,1 203,1 145,1 100,1 095,1 239
E21,  - Pétrole,GWh,2,2,5,5,12,13
E22,  - Charbon,GWh,0,Secret primaire,Secret primaire,0,0,0
E23,  - Biomasse,GWh,55,72,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E24,  - Biogaz,GWh PCI,Secret primaire,Secret induit,52,Secret primaire,59,51
E25,  - Déchets urbains,GWh,Secret primaire,124,Secret primaire,182,134,137
E26,  - Déchets industriels,GWh,0,0,0,0,Secret primaire,Secret primaire
E27,  - Géothermie,GWh,0,0,0,0,0,0
E28,  - Autre,GWh,0,0,0,0,0,0
Combustibles consommés,,,,,,,,
E29,Consommation de combustibles dans  les centrales thermiques,GWh,16996,23056,30213,29565,21380,25960
E30,  - Gaz naturel,GWh,3 956,8 545,15 754,17 117,11 723,17 559
E31,  - Pétrole,GWh,2 710,1 483,2 171,1 258,1 208,717
E32,  - Charbon,GWh,5 947,7 678,6 558,6 017,2 962,2 681
E33,  - Biomasse,GWh,Secret primaire,Secret primaire,2 271,1 798,2 136,1 721
E34,  - Biogaz,GWh PCI,525,570,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E35,  - Déchets urbains,GWh,2 693,2 777,2 831,2 802,2 768,2 811
E36,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E37,  - Géothermie,GWh,0,0,0,0,0,0
E38,  - Autre,GWh,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,12093,11970,11762,11885,12175,12182
CI1,Industrie,ktep,3900,3675,3551,3569,3845,3833
CI3,Charbon,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
CI3b,dont hauts fourneaux,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
CI4,Produits pétroliers,ktep,305,307,283,228,201,188
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
CI11,Chaleur commercialisée,ktep,184,164,198,187,171,184
CI5,Gaz naturel (unité propre),GWh PCS,11 319,11 378,11 294,10 562,12 675,12 816
CI6,Gaz naturel,ktep,876,880,874,817,981,992
CI7,Électricité (unité propre),GWh,9 026,8 663,8 485,8 032,8 064,8 236
CI8,Électricité ,ktep,776,745,730,691,693,708
CTR1,Transport,ktep,4092,4157,4108,4245,4176,4246
