PRODUCTION,,Unité,2014,2015,2016,2017,2018,2019
Production d'énergie primaire,,,,,,,,
P1,Production de charbon,kt,0,0,0,0,0,0
P2,Production de pétrole,kt,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
P3,Production de gaz naturel et grisou,GWh PCS,0,0,0,0,0,0
P4,"Chaleur nucléaire (E8/0,33)",GWh,45244,56819,60008,53844,51985,51368
P5,Énergies renouvelables électriques (E4+E6+E7),GWh,16404,14342,15613,14518,19257,16116
P7,Production totale d'énergies fossiles (P8+P9+P10),ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
P8,"  - production de charbon (P1*0,619)",ktep,0,0,0,0,0,0
P9,  - production de pétrole,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
P10,"  - production de gaz naturel et grisou (P3*(3,6*0,9/41,868))",ktep,0,0,0,0,0,0
P11,"Chaleur nucléaire (P4*(3,6/41,868))",ktep,3890,4886,5160,4630,4470,4417
P12,"Énergies renouvelables électriques (P5*(3,6/41,868))",ktep,1411,1233,1342,1248,1656,1386
P13,Biométhane injecté,GWh PCI,0,0,0,0,7,19
P14,"Biométhane injecté (P13 * (3,6/41,868))",ktep,0,0,0,0,1,2
Électricité,,,,,,,,
Productions,,,,,,,,
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,32325,34169,36600,33408,37556,34253
E2,Production d'électricité primaire ,GWh,16404,14342,15613,14518,19257,16116
E4,  - Hydraulique (yc pompage),GWh,12 898,10 431,11 124,9 428,13 929,9 978
E6,  - Éolien ,GWh,2 204,2 334,2 677,3 021,3 082,3 549
E7,  - Solaire photovoltaïque **,GWh,1 303,1 577,1 812,2 069,2 245,2 588
E8,Production d'électricité nucléaire,GWh,14 930,18 750,19 803,17 768,17 155,16 952
E9,Production nette d'électricité des centrales thermiques classiques,GWh,990,1077,1184,1122,1145,1186
E10,  - Gaz naturel,GWh,226,222,229,251,308,318
E11,  - Pétrole,GWh,7,Secret primaire,Secret primaire,3,4,2
E12,  - Charbon,GWh,0,0,0,0,0,0
E13,  - Biomasse,GWh,Secret primaire,303,346,331,293,289
E14,  - Biogaz,GWh PCI,131,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E15,  - Déchets urbains,GWh,331,360,364,361,341,364
E16,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E17,  - Géothermie,GWh,0,0,0,0,0,0
E18,  - Autre,GWh,0,0,0,0,0,Secret primaire
E19,Production de chaleur commercialisée,GWh,811,880,914,1007,1062,1159
E20,  - Gaz naturel,GWh,448,387,339,446,434,462
E21,  - Pétrole,GWh,0,4,5,3,2,2
E22,  - Charbon,GWh,Secret primaire,Secret primaire,0,0,0,Secret primaire
E23,  - Biomasse,GWh,137,198,243,272,280,324
E24,  - Biogaz,GWh PCI,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,21
E25,  - Déchets urbains,GWh,207,277,317,264,317,341
E26,  - Déchets industriels,GWh,0,0,0,0,0,Secret primaire
E27,  - Géothermie,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E28,  - Autre,GWh,0,Secret primaire,Secret primaire,5,3,4
Combustibles consommés,,,,,,,,
E29,Consommation de combustibles dans  les centrales thermiques,GWh,4760,5158,5260,5028,5020,4942
E30,  - Gaz naturel,GWh,884,809,774,887,950,1 034
E31,  - Pétrole,GWh,Secret primaire,Secret primaire,Secret primaire,11,12,8
E32,  - Charbon,GWh,Secret primaire,Secret primaire,0,0,0,Secret primaire
E33,  - Biomasse,GWh,1 346,1 664,1 692,1 666,1 382,1 226
E34,  - Biogaz,GWh PCI,537,563,566,567,661,630
E35,  - Déchets urbains,GWh,1 779,1 842,1 887,1 801,1 932,1 948
E36,  - Déchets industriels,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E37,  - Géothermie,GWh,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
E38,  - Autre,GWh,0,Secret primaire,Secret primaire,5,3,12
,,,,,,,,
,,,,,,,,
CONSOMMATION FINALE,,Unité,2014,2015,2016,2017,2018,2019
Consommation finale par secteur,,,,,,,,
C1,Consommation finale énergétique,ktep,10224,10415,10666,10652,10702,10654
CI1,Industrie,ktep,1257,1229,1210,1235,1382,1357
CI3,Charbon,ktep,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire,Secret primaire
CI3b,dont hauts fourneaux,ktep,0,0,0,0,0,0
CI4,Produits pétroliers,ktep,223,213,221,219,232,245
CI9,Energies renouvelables & déchets (hors biocarburants),ktep,217,198,209,207,224,214
CI11,Chaleur commercialisée,ktep,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit,Secret induit
CI5,Gaz naturel (unité propre),GWh PCS,3 667,3 766,3 059,3 179,4 522,4 480
