Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,17948,2014,Auvergne Rhone Alpes,CONSOMMATION
C1,Consommation finale énergétique,ktep,18567,2015,Auvergne Rhone Alpes,CONSOMMATION
C1,Consommation finale énergétique,ktep,18559,2016,Auvergne Rhone Alpes,CONSOMMATION
C1,Consommation finale énergétique,ktep,18746,2017,Auvergne Rhone Alpes,CONSOMMATION
C1,Consommation finale énergétique,ktep,18327,2018,Auvergne Rhone Alpes,CONSOMMATION
C1,Consommation finale énergétique,ktep,18369,2019,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,51,2014,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,54,2015,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,66,2016,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,47,2017,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,50,2018,Auvergne Rhone Alpes,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,Auvergne Rhone Alpes,CONSOMMATION
C13,- Déchets industriels,ktep,55,2019,Auvergne Rhone Alpes,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,Auvergne Rhone Alpes,CONSOMMATION
C14,- Géothermie,ktep,"",2014,Auvergne Rhone Alpes,CONSOMMATION
