Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,6673,2014,Bourgogne Franche Comte,CONSOMMATION
C1,Consommation finale énergétique,ktep,7015,2015,Bourgogne Franche Comte,CONSOMMATION
C1,Consommation finale énergétique,ktep,7346,2016,Bourgogne Franche Comte,CONSOMMATION
C1,Consommation finale énergétique,ktep,7281,2017,Bourgogne Franche Comte,CONSOMMATION
C1,Consommation finale énergétique,ktep,7127,2018,Bourgogne Franche Comte,CONSOMMATION
C1,Consommation finale énergétique,ktep,7107,2019,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,"",2014,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,"",2015,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,0,2016,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,"",2017,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,"",2018,Bourgogne Franche Comte,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Bourgogne Franche Comte,CONSOMMATION
C13,- Déchets industriels,ktep,"",2019,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Bourgogne Franche Comte,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Bourgogne Franche Comte,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2014,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2016,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2017,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2018,Bourgogne Franche Comte,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2019,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2014,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2017,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Bourgogne Franche Comte,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Bourgogne Franche Comte,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Bourgogne Franche Comte,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",266,2014,Bourgogne Franche Comte,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",262,2015,Bourgogne Franche Comte,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",271,2016,Bourgogne Franche Comte,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",265,2017,Bourgogne Franche Comte,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",275,2018,Bourgogne Franche Comte,CONSOMMATION
