Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,6633,2014,Bretagne,CONSOMMATION
C1,Consommation finale énergétique,ktep,6766,2015,Bretagne,CONSOMMATION
C1,Consommation finale énergétique,ktep,7066,2016,Bretagne,CONSOMMATION
C1,Consommation finale énergétique,ktep,7047,2017,Bretagne,CONSOMMATION
C1,Consommation finale énergétique,ktep,7064,2018,Bretagne,CONSOMMATION
C1,Consommation finale énergétique,ktep,7036,2019,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,"",2014,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,"",2015,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,"",2016,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,0,2017,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,0,2018,Bretagne,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Bretagne,CONSOMMATION
C13,- Déchets industriels,ktep,0,2019,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Bretagne,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Bretagne,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2014,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2016,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2017,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2018,Bretagne,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2019,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2014,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2017,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2018,Bretagne,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Bretagne,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Bretagne,CONSOMMATION
