Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,860,2014,Corse,CONSOMMATION
C1,Consommation finale énergétique,ktep,860,2015,Corse,CONSOMMATION
C1,Consommation finale énergétique,ktep,880,2016,Corse,CONSOMMATION
C1,Consommation finale énergétique,ktep,883,2017,Corse,CONSOMMATION
C1,Consommation finale énergétique,ktep,876,2018,Corse,CONSOMMATION
C1,Consommation finale énergétique,ktep,869,2019,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2014,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2015,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2016,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2017,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2018,Corse,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Corse,CONSOMMATION
C13,- Déchets industriels,ktep,0,2019,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Corse,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Corse,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2014,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2015,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2016,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2017,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2018,Corse,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2019,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2014,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2015,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2016,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2017,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2018,Corse,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2019,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Corse,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Corse,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",14,2014,Corse,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",9,2015,Corse,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",9,2016,Corse,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",10,2017,Corse,CONSOMMATION
