Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,145508,2014,France Metropolitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,148168,2015,France Metropolitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,150526,2016,France Metropolitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,150337,2017,France Metropolitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,148079,2018,France Metropolitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,146289,2019,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,355,2014,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,348,2015,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,399,2016,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,340,2017,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,368,2018,France Metropolitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,France Metropolitaine,CONSOMMATION
C13,- Déchets industriels,ktep,392,2019,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2014,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2015,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2015,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2016,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2016,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2017,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2017,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2018,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2018,France Metropolitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2019,France Metropolitaine,CONSOMMATION
C14,- Géothermie,ktep,40,2019,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,10974,2014,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,10530,2015,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,9841,2016,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,10625,2017,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,9329,2018,France Metropolitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,9770,2019,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,211,2014,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,212,2015,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,228,2016,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,201,2017,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,200,2018,France Metropolitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,140,2019,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2014,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2015,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2016,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2017,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2018,France Metropolitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2019,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2014,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2015,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2016,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2017,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2018,France Metropolitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"","",2019,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2014,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2015,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2016,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2017,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2018,France Metropolitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,"",2019,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,279,2014,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,268,2015,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,261,2016,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,303,2017,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,285,2018,France Metropolitaine,CONSOMMATION
CA21,dont pêche,ktep,291,2019,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2014,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2015,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2016,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2017,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2018,France Metropolitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,"",2019,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,176,2014,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,157,2015,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,165,2016,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,165,2017,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,188,2018,France Metropolitaine,CONSOMMATION
CA4,Gaz naturel,ktep,189,2019,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2014,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2015,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2016,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2017,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2018,France Metropolitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2019,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,706,2014,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,763,2015,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,763,2016,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,765,2017,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,740,2018,France Metropolitaine,CONSOMMATION
CA6,Électricité,ktep,726,2019,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,165,2014,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,175,2015,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,176,2016,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,183,2017,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,191,2018,France Metropolitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,201,2019,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,9,2014,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,7,2015,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,9,2016,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,8,2017,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,12,2018,France Metropolitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,19,2019,France Metropolitaine,CONSOMMATION
CI1,Industrie,ktep,32320,2014,France Metropolitaine,CONSOMMATION
