Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,15179,2014,Grand Est,CONSOMMATION
C1,Consommation finale énergétique,ktep,15661,2015,Grand Est,CONSOMMATION
C1,Consommation finale énergétique,ktep,15716,2016,Grand Est,CONSOMMATION
C1,Consommation finale énergétique,ktep,15628,2017,Grand Est,CONSOMMATION
C1,Consommation finale énergétique,ktep,14780,2018,Grand Est,CONSOMMATION
C1,Consommation finale énergétique,ktep,14458,2019,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,78,2014,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,84,2015,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,120,2016,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,89,2017,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,95,2018,Grand Est,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,Grand Est,CONSOMMATION
C13,- Déchets industriels,ktep,121,2019,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,"",2014,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2015,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,"",2015,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2016,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,"",2016,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2017,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,"",2017,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2018,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,3,2018,Grand Est,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2019,Grand Est,CONSOMMATION
C14,- Géothermie,ktep,"",2019,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2014,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,463,2016,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,564,2017,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,549,2018,Grand Est,CONSOMMATION
C2,Consommation finale non énergétique,ktep,449,2019,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,43,2014,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,50,2015,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,15,2016,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,22,2017,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,42,2018,Grand Est,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,18,2019,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2014,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2015,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2016,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2017,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2018,Grand Est,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2019,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",463,2014,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",472,2015,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",433,2016,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",427,2017,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",425,2018,Grand Est,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",393,2019,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,371,2014,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,373,2015,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,348,2016,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,339,2017,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,335,2018,Grand Est,CONSOMMATION
CA2,Produits pétroliers,ktep,306,2019,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2014,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2015,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2016,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2017,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2018,Grand Est,CONSOMMATION
CA21,dont pêche,ktep,0,2019,Grand Est,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,169,2014,Grand Est,CONSOMMATION
