Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,16889,2014,Hauts De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,16735,2015,Hauts De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,16968,2016,Hauts De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,17239,2017,Hauts De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,16949,2018,Hauts De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,16335,2019,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2014,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2015,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,59,2016,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,64,2017,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2018,Hauts De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Hauts De France,CONSOMMATION
C13,- Déchets industriels,ktep,76,2019,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Hauts De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Hauts De France,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2014,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,972,2015,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,829,2016,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2017,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2018,Hauts De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,988,2019,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2014,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2017,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Hauts De France,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2014,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2015,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2016,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2017,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2018,Hauts De France,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2019,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",393,2014,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",389,2015,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",350,2016,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",343,2017,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",356,2018,Hauts De France,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",395,2019,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,322,2014,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,315,2015,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,281,2016,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,266,2017,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,279,2018,Hauts De France,CONSOMMATION
CA2,Produits pétroliers,ktep,320,2019,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,32,2014,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,24,2015,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,9,2016,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,8,2017,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,10,2018,Hauts De France,CONSOMMATION
CA21,dont pêche,ktep,38,2019,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,121,2014,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,98,2015,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,79,2016,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,100,2017,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,106,2018,Hauts De France,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,100,2019,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,9,2014,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,8,2015,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,6,2016,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,8,2017,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,8,2018,Hauts De France,CONSOMMATION
CA4,Gaz naturel,ktep,8,2019,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,691,2014,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,719,2015,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,680,2016,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,746,2017,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,734,2018,Hauts De France,CONSOMMATION
CA5,Électricité (unité propre),GWh,706,2019,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,59,2014,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,62,2015,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,58,2016,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,64,2017,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,63,2018,Hauts De France,CONSOMMATION
CA6,Électricité,ktep,61,2019,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,3,2014,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,4,2015,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,4,2016,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,5,2017,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,6,2018,Hauts De France,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,6,2019,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2014,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2015,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2016,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2017,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2018,Hauts De France,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2019,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,7066,2014,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,6620,2015,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,6738,2016,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,7073,2017,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,7074,2018,Hauts De France,CONSOMMATION
CI1,Industrie,ktep,6557,2019,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,170,2014,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,154,2015,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,175,2016,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,191,2017,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,146,2018,Hauts De France,CONSOMMATION
CI11,Chaleur commercialisée,ktep,143,2019,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2014,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2015,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2016,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2017,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2018,Hauts De France,CONSOMMATION
CI3,Charbon,ktep,"",2019,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2014,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2015,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2016,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2017,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2018,Hauts De France,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2019,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,350,2014,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,343,2015,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,397,2016,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,367,2017,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,291,2018,Hauts De France,CONSOMMATION
CI4,Produits pétroliers,ktep,304,2019,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2014,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2015,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2016,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2017,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2018,Hauts De France,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2019,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2014,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2015,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2016,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2017,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2018,Hauts De France,CONSOMMATION
CI6,Gaz naturel,ktep,"",2019,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2014,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2015,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2016,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2017,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2018,Hauts De France,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2019,Hauts De France,CONSOMMATION
CI8,Électricité,ktep,"",2014,Hauts De France,CONSOMMATION
