Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,22730,2014,Ile De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,23583,2015,Ile De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,24681,2016,Ile De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,24260,2017,Ile De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,23618,2018,Ile De France,CONSOMMATION
C1,Consommation finale énergétique,ktep,23340,2019,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,0,2014,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2015,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,0,2016,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2017,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2018,Ile De France,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,Ile De France,CONSOMMATION
C13,- Déchets industriels,ktep,"",2019,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2015,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2016,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2017,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2018,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Ile De France,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2019,Ile De France,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Ile De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,166,2014,Ile De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,133,2015,Ile De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,183,2016,Ile De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,111,2017,Ile De France,CONSOMMATION
C2,Consommation finale non énergétique,ktep,199,2018,Ile De France,CONSOMMATION
