Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,8901,2014,Normandie,CONSOMMATION
C1,Consommation finale énergétique,ktep,8818,2015,Normandie,CONSOMMATION
C1,Consommation finale énergétique,ktep,8913,2016,Normandie,CONSOMMATION
C1,Consommation finale énergétique,ktep,8961,2017,Normandie,CONSOMMATION
C1,Consommation finale énergétique,ktep,9002,2018,Normandie,CONSOMMATION
C1,Consommation finale énergétique,ktep,8619,2019,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,32,2014,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,27,2015,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,16,2016,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,5,2017,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,4,2018,Normandie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,Normandie,CONSOMMATION
C13,- Déchets industriels,ktep,4,2019,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2015,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2016,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2017,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2018,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Normandie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2019,Normandie,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,3122,2014,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,3613,2015,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,3455,2016,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,3440,2017,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,2914,2018,Normandie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,3227,2019,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2014,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2017,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Normandie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2014,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2015,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2016,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2017,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2018,Normandie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2019,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",306,2014,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",316,2015,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",301,2016,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",293,2017,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",293,2018,Normandie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",307,2019,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,257,2014,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,265,2015,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,249,2016,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,237,2017,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,237,2018,Normandie,CONSOMMATION
CA2,Produits pétroliers,ktep,250,2019,Normandie,CONSOMMATION
CA21,dont pêche,ktep,26,2014,Normandie,CONSOMMATION
CA21,dont pêche,ktep,31,2015,Normandie,CONSOMMATION
CA21,dont pêche,ktep,31,2016,Normandie,CONSOMMATION
CA21,dont pêche,ktep,32,2017,Normandie,CONSOMMATION
CA21,dont pêche,ktep,27,2018,Normandie,CONSOMMATION
CA21,dont pêche,ktep,34,2019,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,23,2014,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,29,2015,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,23,2016,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,27,2017,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,23,2018,Normandie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,22,2019,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2014,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2015,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2016,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2017,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2018,Normandie,CONSOMMATION
CA4,Gaz naturel,ktep,2,2019,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,513,2014,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,529,2015,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,543,2016,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,566,2017,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,546,2018,Normandie,CONSOMMATION
CA5,Électricité (unité propre),GWh,560,2019,Normandie,CONSOMMATION
CA6,Électricité,ktep,44,2014,Normandie,CONSOMMATION
CA6,Électricité,ktep,45,2015,Normandie,CONSOMMATION
CA6,Électricité,ktep,47,2016,Normandie,CONSOMMATION
CA6,Électricité,ktep,49,2017,Normandie,CONSOMMATION
CA6,Électricité,ktep,47,2018,Normandie,CONSOMMATION
CA6,Électricité,ktep,48,2019,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,3,2014,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,3,2015,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,4,2016,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,5,2017,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,6,2018,Normandie,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,7,2019,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2014,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2015,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2016,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2017,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2018,Normandie,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2019,Normandie,CONSOMMATION
CI1,Industrie,ktep,3161,2014,Normandie,CONSOMMATION
CI1,Industrie,ktep,2867,2015,Normandie,CONSOMMATION
CI1,Industrie,ktep,2830,2016,Normandie,CONSOMMATION
CI1,Industrie,ktep,2858,2017,Normandie,CONSOMMATION
CI1,Industrie,ktep,2908,2018,Normandie,CONSOMMATION
CI1,Industrie,ktep,2588,2019,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,192,2014,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,182,2015,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,250,2016,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,244,2017,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,220,2018,Normandie,CONSOMMATION
CI11,Chaleur commercialisée,ktep,225,2019,Normandie,CONSOMMATION
CI3,Charbon,ktep,12,2014,Normandie,CONSOMMATION
CI3,Charbon,ktep,49,2015,Normandie,CONSOMMATION
CI3,Charbon,ktep,28,2016,Normandie,CONSOMMATION
CI3,Charbon,ktep,75,2017,Normandie,CONSOMMATION
CI3,Charbon,ktep,56,2018,Normandie,CONSOMMATION
