Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,13167,2014,Nouvelle Aquitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,13293,2015,Nouvelle Aquitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,13476,2016,Nouvelle Aquitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,13232,2017,Nouvelle Aquitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,13125,2018,Nouvelle Aquitaine,CONSOMMATION
C1,Consommation finale énergétique,ktep,13041,2019,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,35,2014,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,24,2015,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,18,2016,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,19,2017,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,19,2018,Nouvelle Aquitaine,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
C13,- Déchets industriels,ktep,20,2019,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2014,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2015,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2016,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2017,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2018,Nouvelle Aquitaine,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Nouvelle Aquitaine,CONSOMMATION
C14,- Géothermie,ktep,23,2019,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2016,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2018,Nouvelle Aquitaine,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Nouvelle Aquitaine,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Nouvelle Aquitaine,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",599,2014,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",610,2015,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",595,2016,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",583,2017,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",581,2018,Nouvelle Aquitaine,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",565,2019,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,461,2014,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,465,2015,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,443,2016,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,437,2017,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,432,2018,Nouvelle Aquitaine,CONSOMMATION
CA2,Produits pétroliers,ktep,415,2019,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,32,2014,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,36,2015,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,34,2016,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,37,2017,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,38,2018,Nouvelle Aquitaine,CONSOMMATION
CA21,dont pêche,ktep,41,2019,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,218,2014,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,186,2015,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,215,2016,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,214,2017,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,240,2018,Nouvelle Aquitaine,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,236,2019,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,17,2014,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,14,2015,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,17,2016,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,17,2017,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,19,2018,Nouvelle Aquitaine,CONSOMMATION
CA4,Gaz naturel,ktep,18,2019,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2014,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2015,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2016,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2017,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2018,Nouvelle Aquitaine,CONSOMMATION
CA5,Électricité (unité propre),GWh,"",2019,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,95,2014,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,102,2015,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,106,2016,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,99,2017,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,101,2018,Nouvelle Aquitaine,CONSOMMATION
CA6,Électricité,ktep,103,2019,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,27,2014,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,29,2015,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,29,2016,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,30,2017,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,30,2018,Nouvelle Aquitaine,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,29,2019,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2015,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2016,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2018,Nouvelle Aquitaine,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2398,2014,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2399,2015,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2487,2016,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2232,2017,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2255,2018,Nouvelle Aquitaine,CONSOMMATION
CI1,Industrie,ktep,2249,2019,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,289,2014,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,313,2015,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,352,2016,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,345,2017,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,269,2018,Nouvelle Aquitaine,CONSOMMATION
CI11,Chaleur commercialisée,ktep,273,2019,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,98,2014,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,122,2015,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,91,2016,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,88,2017,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,84,2018,Nouvelle Aquitaine,CONSOMMATION
CI3,Charbon,ktep,86,2019,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2014,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2015,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2016,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2017,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2018,Nouvelle Aquitaine,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,0,2019,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,315,2014,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,297,2015,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,307,2016,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,254,2017,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,261,2018,Nouvelle Aquitaine,CONSOMMATION
CI4,Produits pétroliers,ktep,247,2019,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2014,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2015,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2016,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2017,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2018,Nouvelle Aquitaine,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2019,Nouvelle Aquitaine,CONSOMMATION
CI6,Gaz naturel,ktep,635,2014,Nouvelle Aquitaine,CONSOMMATION
CI6,Gaz naturel,ktep,609,2015,Nouvelle Aquitaine,CONSOMMATION
CI6,Gaz naturel,ktep,683,2016,Nouvelle Aquitaine,CONSOMMATION
