Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,10224,2014,Occitanie,CONSOMMATION
C1,Consommation finale énergétique,ktep,10415,2015,Occitanie,CONSOMMATION
C1,Consommation finale énergétique,ktep,10666,2016,Occitanie,CONSOMMATION
C1,Consommation finale énergétique,ktep,10652,2017,Occitanie,CONSOMMATION
C1,Consommation finale énergétique,ktep,10702,2018,Occitanie,CONSOMMATION
C1,Consommation finale énergétique,ktep,10654,2019,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,44,2014,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,39,2015,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,44,2016,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,45,2017,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,48,2018,Occitanie,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Occitanie,CONSOMMATION
C13,- Déchets industriels,ktep,36,2019,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,12,2014,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,12,2015,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,12,2016,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,12,2017,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,"",2018,Occitanie,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Occitanie,CONSOMMATION
C14,- Géothermie,ktep,12,2019,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2014,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2016,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2017,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2018,Occitanie,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2019,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2014,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2017,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Occitanie,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Occitanie,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",364,2014,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",365,2015,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",370,2016,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",351,2017,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",352,2018,Occitanie,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",334,2019,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,276,2014,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,279,2015,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,284,2016,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,265,2017,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,269,2018,Occitanie,CONSOMMATION
CA2,Produits pétroliers,ktep,254,2019,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,14,2014,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,17,2015,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,17,2016,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,16,2017,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,16,2018,Occitanie,CONSOMMATION
CA21,dont pêche,ktep,17,2019,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,148,2014,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,81,2015,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,66,2016,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,74,2017,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,75,2018,Occitanie,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,82,2019,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,11,2014,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,6,2015,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,5,2016,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,6,2017,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,6,2018,Occitanie,CONSOMMATION
CA4,Gaz naturel,ktep,6,2019,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,726,2014,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,749,2015,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,770,2016,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,758,2017,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,722,2018,Occitanie,CONSOMMATION
CA5,Électricité (unité propre),GWh,680,2019,Occitanie,CONSOMMATION
CA6,Électricité,ktep,62,2014,Occitanie,CONSOMMATION
CA6,Électricité,ktep,64,2015,Occitanie,CONSOMMATION
CA6,Électricité,ktep,66,2016,Occitanie,CONSOMMATION
CA6,Électricité,ktep,65,2017,Occitanie,CONSOMMATION
