Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,8296,2014,Pays De La Loire,CONSOMMATION
C1,Consommation finale énergétique,ktep,8511,2015,Pays De La Loire,CONSOMMATION
C1,Consommation finale énergétique,ktep,8458,2016,Pays De La Loire,CONSOMMATION
C1,Consommation finale énergétique,ktep,8403,2017,Pays De La Loire,CONSOMMATION
C1,Consommation finale énergétique,ktep,8325,2018,Pays De La Loire,CONSOMMATION
C1,Consommation finale énergétique,ktep,8326,2019,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2014,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,"",2014,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2015,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,"",2015,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2016,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,"",2016,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2017,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,"",2017,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2018,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,"",2018,Pays De La Loire,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,0,2019,Pays De La Loire,CONSOMMATION
C13,- Déchets industriels,ktep,43,2019,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2014,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2015,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2016,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2017,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2018,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Pays De La Loire,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,0,2019,Pays De La Loire,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2014,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2015,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2016,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2017,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2018,Pays De La Loire,CONSOMMATION
C2,Consommation finale non énergétique,ktep,0,2019,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2014,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2015,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2016,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2017,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2018,Pays De La Loire,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,0,2019,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2014,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2015,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2016,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2017,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2018,Pays De La Loire,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,0,2019,Pays De La Loire,CONSOMMATION
