Code,Intitule,Unite,Value,Year,Region,Ressource_type
C1,Consommation finale énergétique,ktep,12093,2014,Provence Alpes Cote D Azur,CONSOMMATION
C1,Consommation finale énergétique,ktep,11970,2015,Provence Alpes Cote D Azur,CONSOMMATION
C1,Consommation finale énergétique,ktep,11762,2016,Provence Alpes Cote D Azur,CONSOMMATION
C1,Consommation finale énergétique,ktep,11885,2017,Provence Alpes Cote D Azur,CONSOMMATION
C1,Consommation finale énergétique,ktep,12175,2018,Provence Alpes Cote D Azur,CONSOMMATION
C1,Consommation finale énergétique,ktep,12182,2019,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,11,2015,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,19,2016,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,21,2017,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,25,2018,Provence Alpes Cote D Azur,CONSOMMATION
C13,Consommation finale non énergétique de gaz,ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
C13,- Déchets industriels,ktep,22,2019,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2014,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2015,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2016,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2017,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2018,Provence Alpes Cote D Azur,CONSOMMATION
C14,Consommation finale non énergétique de gaz,GWh PCS,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
C14,- Géothermie,ktep,0,2019,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
C2,Consommation finale non énergétique,ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
C3,Charbon (hors goudrons de houille),ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
C4,Produits pétroliers (pétrochimie uniquement),ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",158,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",146,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",138,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",130,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",132,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA1,Agriculture/sylviculture/pêche,"",135,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,97,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,89,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,81,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,72,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,75,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA2,Produits pétroliers,ktep,75,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,41,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,29,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,23,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,19,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,21,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA21,dont pêche,ktep,17,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,254,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,276,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,273,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,268,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,293,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA3,Gaz naturel (unité propre),GWh PCS,293,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,20,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,21,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,21,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,21,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,23,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA4,Gaz naturel,ktep,23,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,381,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,330,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,333,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,345,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,319,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA5,Électricité (unité propre),GWh,335,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,33,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,28,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,29,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,30,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,27,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA6,Électricité,ktep,29,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,8,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,7,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,7,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,8,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,8,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA7,Energies renouvelables & déchets (hors biocarburants),ktep,8,2019,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2014,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2015,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2016,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2017,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2018,Provence Alpes Cote D Azur,CONSOMMATION
CA8,Chaleur commercialisée,ktep,0,2019,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3900,2014,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3675,2015,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3551,2016,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3569,2017,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3845,2018,Provence Alpes Cote D Azur,CONSOMMATION
CI1,Industrie,ktep,3833,2019,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,184,2014,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,164,2015,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,198,2016,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,187,2017,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,171,2018,Provence Alpes Cote D Azur,CONSOMMATION
CI11,Chaleur commercialisée,ktep,184,2019,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
CI3,Charbon,ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
CI3b,dont hauts fourneaux,ktep,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,305,2014,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,307,2015,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,283,2016,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,228,2017,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,201,2018,Provence Alpes Cote D Azur,CONSOMMATION
CI4,Produits pétroliers,ktep,188,2019,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2018,Provence Alpes Cote D Azur,CONSOMMATION
CI5,Gaz naturel (unité propre),GWh PCS,"",2019,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,876,2014,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,880,2015,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,874,2016,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,817,2017,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,981,2018,Provence Alpes Cote D Azur,CONSOMMATION
CI6,Gaz naturel,ktep,992,2019,Provence Alpes Cote D Azur,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2014,Provence Alpes Cote D Azur,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2015,Provence Alpes Cote D Azur,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2016,Provence Alpes Cote D Azur,CONSOMMATION
CI7,Électricité (unité propre),GWh,"",2017,Provence Alpes Cote D Azur,CONSOMMATION
