Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,120289,2014,Auvergne Rhone Alpes,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,121896,2015,Auvergne Rhone Alpes,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,108897,2016,Auvergne Rhone Alpes,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,108896,2017,Auvergne Rhone Alpes,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,115223,2018,Auvergne Rhone Alpes,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,119056,2019,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,978,2014,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,Auvergne Rhone Alpes,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,"",2014,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,"",2015,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,"",2016,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,67,2017,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,100,2018,Auvergne Rhone Alpes,PRODUCTION
E11,- Pétrole,GWh,113,2019,Auvergne Rhone Alpes,PRODUCTION
E12,- Charbon,GWh,"",2014,Auvergne Rhone Alpes,PRODUCTION
E12,- Charbon,GWh,"",2015,Auvergne Rhone Alpes,PRODUCTION
E12,- Charbon,GWh,"",2016,Auvergne Rhone Alpes,PRODUCTION
