Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,1947,2014,Bourgogne Franche Comte,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,2276,2015,Bourgogne Franche Comte,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,2860,2016,Bourgogne Franche Comte,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,2667,2017,Bourgogne Franche Comte,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3281,2018,Bourgogne Franche Comte,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3919,2019,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,233,2014,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,292,2015,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,375,2016,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,364,2017,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,460,2018,Bourgogne Franche Comte,PRODUCTION
E10,- Gaz naturel,GWh,482,2019,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,"",2014,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,"",2015,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,1,2016,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,2,2017,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,1,2018,Bourgogne Franche Comte,PRODUCTION
E11,- Pétrole,GWh,1,2019,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2014,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2015,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2016,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2017,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2018,Bourgogne Franche Comte,PRODUCTION
E12,- Charbon,GWh,"",2019,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2014,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2015,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2016,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2017,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2018,Bourgogne Franche Comte,PRODUCTION
E13,- Biomasse,GWh,"",2019,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,"",2014,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,"",2015,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,"",2016,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,"",2017,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,"",2018,Bourgogne Franche Comte,PRODUCTION
E14,- Biogaz,GWh PCI,106,2019,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,109,2014,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,105,2015,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,98,2016,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,122,2017,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,122,2018,Bourgogne Franche Comte,PRODUCTION
E15,- Déchets urbains,GWh,"",2019,Bourgogne Franche Comte,PRODUCTION
E16,- Déchets industriels,GWh,0,2014,Bourgogne Franche Comte,PRODUCTION
E16,- Déchets industriels,GWh,"",2015,Bourgogne Franche Comte,PRODUCTION
E16,- Déchets industriels,GWh,0,2016,Bourgogne Franche Comte,PRODUCTION
