Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,2788,2014,Bretagne,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3151,2015,Bretagne,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3106,2016,Bretagne,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3363,2017,Bretagne,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3731,2018,Bretagne,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3948,2019,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,288,2014,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,372,2015,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,514,2016,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,640,2017,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,699,2018,Bretagne,PRODUCTION
E10,- Gaz naturel,GWh,749,2019,Bretagne,PRODUCTION
E11,- Pétrole,GWh,17,2014,Bretagne,PRODUCTION
E11,- Pétrole,GWh,18,2015,Bretagne,PRODUCTION
E11,- Pétrole,GWh,21,2016,Bretagne,PRODUCTION
E11,- Pétrole,GWh,54,2017,Bretagne,PRODUCTION
E11,- Pétrole,GWh,45,2018,Bretagne,PRODUCTION
E11,- Pétrole,GWh,43,2019,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2014,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2015,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2016,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2017,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2018,Bretagne,PRODUCTION
E12,- Charbon,GWh,0,2019,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2014,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2015,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2016,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2017,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2018,Bretagne,PRODUCTION
E13,- Biomasse,GWh,"",2019,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,49,2014,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,68,2015,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,76,2016,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,100,2017,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,131,2018,Bretagne,PRODUCTION
E14,- Biogaz,GWh PCI,159,2019,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,157,2014,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,157,2015,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,170,2016,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,133,2017,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,122,2018,Bretagne,PRODUCTION
E15,- Déchets urbains,GWh,"",2019,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2014,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2015,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2016,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2017,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2018,Bretagne,PRODUCTION
E16,- Déchets industriels,GWh,"",2019,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2014,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2015,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2016,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2017,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2018,Bretagne,PRODUCTION
E17,- Géothermie,GWh,0,2019,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2014,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2015,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2016,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2017,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2018,Bretagne,PRODUCTION
E18,- Autre,GWh,0,2019,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,953,2014,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1097,2015,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1387,2016,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1593,2017,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1718,2018,Bretagne,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1781,2019,Bretagne,PRODUCTION
