Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,540933,2014,France Metropolitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,546691,2015,France Metropolitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,532418,2016,France Metropolitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,529938,2017,France Metropolitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,550273,2018,France Metropolitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,539354,2019,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2014,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,France Metropolitaine,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2014,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2015,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2016,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2017,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2018,France Metropolitaine,PRODUCTION
E11,- Pétrole,GWh,"",2019,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2014,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2015,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2016,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2017,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2018,France Metropolitaine,PRODUCTION
E12,- Charbon,GWh,"",2019,France Metropolitaine,PRODUCTION
E13,- Biomasse,GWh,"",2014,France Metropolitaine,PRODUCTION
