Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,105750,2014,Grand Est,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,107249,2015,Grand Est,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,107980,2016,Grand Est,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,104180,2017,Grand Est,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,104732,2018,Grand Est,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,104436,2019,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2014,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,Grand Est,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,Grand Est,PRODUCTION
E11,- Pétrole,GWh,96,2014,Grand Est,PRODUCTION
E11,- Pétrole,GWh,59,2015,Grand Est,PRODUCTION
E11,- Pétrole,GWh,"",2016,Grand Est,PRODUCTION
E11,- Pétrole,GWh,38,2017,Grand Est,PRODUCTION
E11,- Pétrole,GWh,31,2018,Grand Est,PRODUCTION
E11,- Pétrole,GWh,15,2019,Grand Est,PRODUCTION
E12,- Charbon,GWh,"",2014,Grand Est,PRODUCTION
E12,- Charbon,GWh,"",2015,Grand Est,PRODUCTION
E12,- Charbon,GWh,"",2016,Grand Est,PRODUCTION
E12,- Charbon,GWh,"",2017,Grand Est,PRODUCTION
E12,- Charbon,GWh,"",2018,Grand Est,PRODUCTION
E12,- Charbon,GWh,890,2019,Grand Est,PRODUCTION
E13,- Biomasse,GWh,165,2014,Grand Est,PRODUCTION
E13,- Biomasse,GWh,223,2015,Grand Est,PRODUCTION
E13,- Biomasse,GWh,276,2016,Grand Est,PRODUCTION
E13,- Biomasse,GWh,324,2017,Grand Est,PRODUCTION
E13,- Biomasse,GWh,354,2018,Grand Est,PRODUCTION
E13,- Biomasse,GWh,386,2019,Grand Est,PRODUCTION
