Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,43589,2014,Hauts De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,49123,2015,Hauts De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,45757,2016,Hauts De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,49670,2017,Hauts De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,52147,2018,Hauts De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,53009,2019,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2014,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,Hauts De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,25,2014,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,23,2015,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,20,2016,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,30,2017,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,7,2018,Hauts De France,PRODUCTION
E11,- Pétrole,GWh,9,2019,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2014,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2015,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2016,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2017,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2018,Hauts De France,PRODUCTION
E12,- Charbon,GWh,"",2019,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,0,2014,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,0,2015,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,266,2016,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,269,2017,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,283,2018,Hauts De France,PRODUCTION
E13,- Biomasse,GWh,258,2019,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2014,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2015,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2016,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2017,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2018,Hauts De France,PRODUCTION
E14,- Biogaz,GWh PCI,"",2019,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,506,2014,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,514,2015,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,508,2016,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,521,2017,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,547,2018,Hauts De France,PRODUCTION
E15,- Déchets urbains,GWh,549,2019,Hauts De France,PRODUCTION
E16,- Déchets industriels,GWh,0,2014,Hauts De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2015,Hauts De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2016,Hauts De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2017,Hauts De France,PRODUCTION
