Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3536,2014,Ile De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3761,2015,Ile De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3858,2016,Ile De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,4118,2017,Ile De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3376,2018,Ile De France,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,3315,2019,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2014,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,Ile De France,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,Ile De France,PRODUCTION
E11,- Pétrole,GWh,80,2014,Ile De France,PRODUCTION
E11,- Pétrole,GWh,161,2015,Ile De France,PRODUCTION
E11,- Pétrole,GWh,185,2016,Ile De France,PRODUCTION
E11,- Pétrole,GWh,368,2017,Ile De France,PRODUCTION
E11,- Pétrole,GWh,117,2018,Ile De France,PRODUCTION
E11,- Pétrole,GWh,57,2019,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2014,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2015,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2016,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2017,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2018,Ile De France,PRODUCTION
E12,- Charbon,GWh,"",2019,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2014,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2015,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2016,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2017,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2018,Ile De France,PRODUCTION
E13,- Biomasse,GWh,"",2019,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,395,2014,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,373,2015,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,387,2016,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,398,2017,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,399,2018,Ile De France,PRODUCTION
E14,- Biogaz,GWh PCI,377,2019,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,867,2014,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,728,2015,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,889,2016,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,929,2017,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,902,2018,Ile De France,PRODUCTION
E15,- Déchets urbains,GWh,835,2019,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2014,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2015,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2016,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2017,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2018,Ile De France,PRODUCTION
E16,- Déchets industriels,GWh,"",2019,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2014,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2015,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2016,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2017,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2018,Ile De France,PRODUCTION
E17,- Géothermie,GWh,0,2019,Ile De France,PRODUCTION
E18,- Autre,GWh,0,2014,Ile De France,PRODUCTION
E18,- Autre,GWh,0,2015,Ile De France,PRODUCTION
E18,- Autre,GWh,"",2016,Ile De France,PRODUCTION
E18,- Autre,GWh,"",2017,Ile De France,PRODUCTION
E18,- Autre,GWh,"",2018,Ile De France,PRODUCTION
