Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,76662,2014,Normandie,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,70039,2015,Normandie,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,64180,2016,Normandie,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,59962,2017,Normandie,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,66035,2018,Normandie,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,54810,2019,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,1994,2014,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,1971,2015,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,2005,2016,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,2306,2017,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,2059,2018,Normandie,PRODUCTION
E10,- Gaz naturel,GWh,2244,2019,Normandie,PRODUCTION
E11,- Pétrole,GWh,198,2014,Normandie,PRODUCTION
E11,- Pétrole,GWh,217,2015,Normandie,PRODUCTION
E11,- Pétrole,GWh,259,2016,Normandie,PRODUCTION
E11,- Pétrole,GWh,263,2017,Normandie,PRODUCTION
E11,- Pétrole,GWh,218,2018,Normandie,PRODUCTION
E11,- Pétrole,GWh,"",2019,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2014,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2015,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2016,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2017,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2018,Normandie,PRODUCTION
E12,- Charbon,GWh,"",2019,Normandie,PRODUCTION
E13,- Biomasse,GWh,"",2014,Normandie,PRODUCTION
E13,- Biomasse,GWh,"",2015,Normandie,PRODUCTION
E13,- Biomasse,GWh,253,2016,Normandie,PRODUCTION
E13,- Biomasse,GWh,254,2017,Normandie,PRODUCTION
E13,- Biomasse,GWh,255,2018,Normandie,PRODUCTION
E13,- Biomasse,GWh,221,2019,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,"",2014,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,"",2015,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,"",2016,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,"",2017,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,"",2018,Normandie,PRODUCTION
E14,- Biogaz,GWh PCI,145,2019,Normandie,PRODUCTION
E15,- Déchets urbains,GWh,290,2014,Normandie,PRODUCTION
E15,- Déchets urbains,GWh,254,2015,Normandie,PRODUCTION
