Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,50290,2014,Nouvelle Aquitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,48282,2015,Nouvelle Aquitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,51656,2016,Nouvelle Aquitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,54368,2017,Nouvelle Aquitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,56963,2018,Nouvelle Aquitaine,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,58608,2019,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,349,2014,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,508,2015,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,587,2016,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,721,2017,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,675,2018,Nouvelle Aquitaine,PRODUCTION
E10,- Gaz naturel,GWh,768,2019,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,17,2014,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,17,2015,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,19,2016,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,9,2017,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,11,2018,Nouvelle Aquitaine,PRODUCTION
E11,- Pétrole,GWh,10,2019,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,"",2014,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,"",2015,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,0,2016,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,0,2017,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,0,2018,Nouvelle Aquitaine,PRODUCTION
E12,- Charbon,GWh,"",2019,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,714,2014,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,809,2015,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,882,2016,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,920,2017,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,916,2018,Nouvelle Aquitaine,PRODUCTION
E13,- Biomasse,GWh,966,2019,Nouvelle Aquitaine,PRODUCTION
E14,- Biogaz,GWh PCI,"",2014,Nouvelle Aquitaine,PRODUCTION
E14,- Biogaz,GWh PCI,153,2015,Nouvelle Aquitaine,PRODUCTION
E14,- Biogaz,GWh PCI,"",2016,Nouvelle Aquitaine,PRODUCTION
E14,- Biogaz,GWh PCI,"",2017,Nouvelle Aquitaine,PRODUCTION
