Code,Intitule,Unite,Value,Year,Region,Ressource_type
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,16290,2014,Provence Alpes Cote D Azur,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,17002,2015,Provence Alpes Cote D Azur,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,21100,2016,Provence Alpes Cote D Azur,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,20464,2017,Provence Alpes Cote D Azur,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,20167,2018,Provence Alpes Cote D Azur,PRODUCTION
E1,Production totale nette d'électricité (primaire + thermique classique+nucléaire),GWh,20148,2019,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2014,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2015,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2016,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2017,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2018,Provence Alpes Cote D Azur,PRODUCTION
E10,- Gaz naturel,GWh,"",2019,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,479,2014,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,280,2015,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,307,2016,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,265,2017,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,258,2018,Provence Alpes Cote D Azur,PRODUCTION
E11,- Pétrole,GWh,149,2019,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,"",2014,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,"",2015,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,"",2016,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,"",2017,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,495,2018,Provence Alpes Cote D Azur,PRODUCTION
E12,- Charbon,GWh,315,2019,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,"",2014,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,"",2015,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,330,2016,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,308,2017,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,538,2018,Provence Alpes Cote D Azur,PRODUCTION
E13,- Biomasse,GWh,363,2019,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,121,2014,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,126,2015,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,"",2016,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,"",2017,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,"",2018,Provence Alpes Cote D Azur,PRODUCTION
E14,- Biogaz,GWh PCI,"",2019,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,385,2014,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,453,2015,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,497,2016,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,528,2017,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,523,2018,Provence Alpes Cote D Azur,PRODUCTION
E15,- Déchets urbains,GWh,505,2019,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2014,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2015,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2016,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2017,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2018,Provence Alpes Cote D Azur,PRODUCTION
E16,- Déchets industriels,GWh,"",2019,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2014,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2015,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2016,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2017,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2018,Provence Alpes Cote D Azur,PRODUCTION
E17,- Géothermie,GWh,0,2019,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2014,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2015,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2016,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2017,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2018,Provence Alpes Cote D Azur,PRODUCTION
E18,- Autre,GWh,0,2019,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,973,2014,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1461,2015,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1386,2016,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1440,2017,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1402,2018,Provence Alpes Cote D Azur,PRODUCTION
E19,Production de chaleur commercialisée,GWh,1557,2019,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,12268,2014,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,10357,2015,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,10718,2016,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,9678,2017,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,12774,2018,Provence Alpes Cote D Azur,PRODUCTION
E2,Production d'électricité primaire,GWh,10983,2019,Provence Alpes Cote D Azur,PRODUCTION
